Name,Min,Mean,Max,Status,Classification,Note
Mt Erebus,,0,,Active,Volcanic,
Dalman Nunatak,         ,40,,Active,Volcanic,
Murdoch Volcano,,40,,Active,Volcanic,
Deception Island,             ,52,,Active,Volcanic,
PenguinIsland,             ,117,,Active,Volcanic,
Christensen Island,,130,,Active,Volcanic,
Linden Island,,130,,Active,Volcanic,
Mt Melbourne,100,130,160,Active,Volcanic,
Mt Rittman,768,770,772,Active,Volcanic,
Hudson Mountains,2032,2232,2432,Dormant,Dormant,Possible unconfirmed eruption in 1985 (37 years ago) and reports of steam nine years before that  
The Pleiades,999,3000,4000,Active,Volcanic,Possible eruption in last 140 years and minor fumarolic activity observed
Mts Berlin and Moulton,5000,10370,15600,Active?,Dormant,Not much evidence of activity.
Mt Takahe,14000,30000,,Dormant/Active?,Dormant,
Royal Society Range 3,,80000,,Dormant,Dormant,
Royal Society Range 7,,80000,,Dormant,Dormant,
Royal Society Range 2,     ,80000,,Dormant,Dormant,
Royal Society Range 4,     ,80000,,Dormant,Dormant,
Royal Society Range 5,,80000,,Dormant,Dormant,
Royal Society Range 6,              ,80000,,Dormant,Dormant,
Mt Bursey,,490000,,Dormant,Inactive,
Mts Terror and Terra Nova,           ,800000,,Dormant,Volcanic,"Classified as volcanic because of influence from active Erebus very nearby (ash, gases etc)"
Argo Point,,900000,,,Inactive,
Mt Murphy,,900000,,,Inactive,
Brown Bluff,,1000000,,Inactive?,Inactive,
Mt Hampton,8600000,1100000,13400000,Inactive,Inactive,
Red Island,1400000,1600000,1800000,,Inactive,
Mt Frakes,                ,1700000,,,Inactive,
Mt Discovery, ,1870000,,,Inactive,
Mount Bird,3800000,4200000,4600000,,Inactive,
Mt Vernon Harcourt,5500000,6000000,6600000,Inactive,Inactive,
Mt Overlord,,7000000,,Inactive/Extinct,Inactive,
Mt Cumming,,10000000,,Inactive,Inactive,
Broknes Peninsula,          ,NA,,Active,Geothermal,
Gaussberg,,Pleistocene,,Inactive,Inactive,
Beaufort Island,,Unknown,,,Inactive,
Bridgeman Island,,Unknown,,,Inactive,
Coulman Island,              ,Unknown,,Inactive,Inactive,
Mount Andrus,,Unknown,,,Inactive,
Mt Haddington,          ,Unknown,,,Inactive,
Mt Melville,,Unknown,,,Inactive,
Mt Morning,,Unknown,,Dormant,Inactive,
Mt Waesche,                ,Unknown,,,Inactive,
Paulet Island,,Unknown,,,Inactive,
Toney Mountain,,Unknown,,,Inactive,
Mt Sidley,,,,Dormant,Inactive,
Mt Siple,     ,Holocene,,Dormant/Active?,Dormant,
Seal Nunataks,            ,,,Dormant,Inactive,
