Gridcode,NEWCODE,LCODE,Name,Distribution,Description
,E3,E1,Mild lowlands,"Occurs all around Antarctica with particular concentrations on the Antarctic Peninsula, in the Transantarctic Mountains, and Victoria Land. Dominates the coastal outcrops around the eastern margin of the continent.","Relatively warm, flat/level habitats, often coastal but not always. Elevations are low and topography is gentle. May be rocky and barren, but often hosts bird colonies and pinnipeds if occurring near the coast."
13,E3B1,E1B1,Mild coastal inclines and beaches,Occurs mainly in the coastal Antarctic Peninsula and Marie Byrd Land. Very common on beaches of coastal islands off the Peninsula. Minor occurrences on the coast of the Transantarctic Mountains and East Antarctica. ,"Rocky, gently sloping lowlands in warm, cloudy mesic (high snowfall) areas; has seasonal snow cover and usually exhibits meltwater erosion channels. This unit supports a rich biota dominated mainly by lichens, mosses and seabirds. Colonies of penguins on the coast and nesting seabirds influence moss beds upslope enriched by nutrients via updrafts. Antarctic hair grass (Deschampsia antarctica) occurs occasionally within this system at low elevations on the Antarctic Peninsula and associated islands, but not in other areas. The microbiota is likely to exhibit strong regional variation within this unit around the continent. Based on sampling, these areas appear to be the most favoured ecosystem for several species of seabirds (terns, gulls, skuas), mosses, mites, and springtails. A favoured nesting environment on the Peninsula for the southern giant petrel, which has been sampled in large numbers. This unit has the highest sampling of 102 relatively common species (at least 10 occurrences), and 20 of these are found in this unit for more than 50% of their samples."
14,E3B2,E1B2,Meltwater-eroded flatlands,"Occurs mainly on the Antarctic Peninsula, but a scattering of this unit can also be found coastally in the Transantarctic Mountains, Victoria Land, Marie Byrd Land. There is a coastal patch of this Habitat Complex in the Bunger Hills, East Antarctica. ","Rocky, gently sloping lowlands characterised by high seasonal melt and meltwater erosion, creating a complex, dynamic terrestrial surface, and higher rugosity than is usual for the group. Satellite imagery suggests a layer of loose, crumbling soils in some areas. Common mosses and lichens are its dominant biota, but the unit may host chinstrap penguin colonies. Sampled biota includes a number of cyanobacteria and Ochrophyte species that are apparently unique to this habitat. "
15,E3B3,E1B3,Xeric valley floors,"Occurs primarily in South Victoria Land (particularly the McMurdo Dry Valleys area). Minor occurrences also exist on the northern shore of Alexander Island, in Dronning Maud Land and the Transantarctic Mountains.","Sloped or rolling valley sides or low outcrops in valleys typically carved by antecedent glaciers and transitioning to steeper cliffs and high peaks. The valleys may extend many kilometres inland and are strongly sheltered from the wind and sun and are extremely dry. Some incidence of this unit is also seen between the edge of existing glaciers and steeper mountain slopes. These systems are colder than the rest of the lowlands, but still warmer than the continental average. The vegetation is sparse due to extremely dry conditions, characterised mainly by Lecanorid and Teloschistid lichens with high suitability for Stereocaulid lichens, nematodes, trombidiformid mites, rotifers, green algae, and springtails. Highly characteristic moss Encaplypta procera found primarily in this habitat."
16,E3B4,E1B4,Exposed rocky flatlands,"Occurs mainly in the Transantarctic Mountains and Victoria Land with a scattering of sites in Marie Byrd Land, Enderby Land, and the Prince Charles Mountains. Notably, the Vestfold Hills of East Antarctica are primarily composed of this habitat.","Cold despite low elevations, little snowfall but often contains lakes maintained by meltwater streams. Terrain is especially low and flat. Wind tends to be high as this unit is not sheltered by topographic features. Samples comprise mainly lichens and mosses, and also several species of diatoms. Suitability is high for lichens in the families Acarosporaceae, Parmeliaceae and Lecanoraceae. An unusual number of green algae, and cyanobacteria species are attributed to this habitat, however, this is likely due to extensive sampling in and around lakes that are often found in this habitat. "
17,E3B5,E1B5,Subcoastal exposed mossy outcrops,"Dominates Adélie Land, Enderby Land and East Antarctica, with patchy occurrences found coastally scattered around the western side of the continent.","These mossy ecosystems occupy low-relief rocky outcrops in the sub-coastal hinterlands or directly on the coastline. Conditions are sufficiently warm and sunny to promote moss growth, but windier than other coastal systems in E1, leading to presence of aeolian (wind-eroded) contours. Several processes are likely to enhance habitat suitability for mosses by promoting nutrient enrichment. Many occurrences coincide with current or abandoned penguin colonies that were active earlier in the Holocene when sea levels were higher than at present. Toxic nitrogen levels associated with previously active colonies have since been leached, while residual levels of N and other nutrients promote moss growth. Alternatively, more elevated sites receive nutrient influxes from nesting seabirds or aerosol inputs via updrafts from extant penguin colonies below. While mosses are often conspicuous features of these systems, lichens and some nematodes are also widespread; they are popular with snow petrels, Wilson’s storm petrels, and several cyanobacteria species are characteristic of occurrences in different regions of the continent. A number of moss and lichen species that are common across many ecosystems are nonetheless most common in this habitat."
18,E3B6,E1B6,Glacial outwash plains,"Aside from patchy relatively minor occurrences (< 100 km2 per bioregion) in the Antarctic Peninsula, the Transantarctic Mountains, Enderby Land and the Prince Charles Mountains, this habitat is found primarily in Victoria Land, particularly in the McMurdo dry valleys (~800 km2), which constitutes over half of its total area.","Located primarily at the terminus of glaciers, outwash plains contain debris and sediment from meltwater outflow that is often sorted by size, with larger rocks and boulders nearer to the glacier and smaller particles such as silt farther away. In Taylor Valley, by far the largest continuous incidence of this uncommon habitat, the outwash plain is a part of the Ross Sea 1 Drift (Perotti et al. 2018, Hawes et al. 2021) and contains a variety of interbedded substrates including gravel, silt, and sand. The habitat often contains an abundance of kettle lakes and may be crisscrossed by meltwater streams."
19,E3B7,E1B7,Dry lowland lichen fields,Patchy occurrences around much of Antarctica. Found most commonly in the Transantarctic Mountains Victoria Land but there is also a notable concentration of this habitat on James Ross Island and minor patches in the Ellsworth and Prince Charles Mountains.  ,"Primarily occurs on flat, rocky terrain or low outcrops on cold, dry and windy coastlines (though there are occasional occurrences inland), commonly (but not exclusively) adjacent to ice shelves. Characteristic biota includes several common moss and lichen recorded primarily from this unit. Nutrient fluxes potentially influenced by emperor penguin colonies on adjacent ice shelves. Suitability is high for all functional groups. Several otherwise unusual species of lichens have been sampled most frequently in this habitat, including several Teloschistaceae (genus Caloplaca) and Lecanoraceae. "
400,E3B8,E1B8,Penguin colonies,"Coastal outcrops all around the edge of the continent and Antarctic Peninsula, and on off shore islands","This assemblage is distinguished by large nesting colonies of AdÃ©lie, chinstrap and gentoo penguins. They select ice-free shorelines (< 300 m from the coast) with gentle topography, low elevation (usually no more than a few metres above sea level), and high insolation. Nesting sites also tend to have high cloud cover, snowfall, and long growing season even relative to other E3 units, but may be exposed to prevailing winds. Suitability of these sites also makes them attractive to other nesting seabirds, including gulls, giant petrels, and the imperial shag, among others. Guano from nesting birds represents major nutrient influx and supports unique trophic networks of mosses, lichens, mites/springtails, etc."
,E1,E2,Midland humid ecosystems,"Dominates the mountainous areas of the Antarctic Peninsula, with strong representation in the Transantarctic mountains and Victoria Land. E1B1 and E1B2 are concentrated on the Peninsula, while E1B3 and E1B4 are found all around the continent including on the (mainly southern) Peninsula, particularly where colder and drier conditions intersect with snowy and cloudy midland terrain.","Occurs on somewhat rugged terrain at low-to-mid elevations, usually near the coast. Characterised by high cloud cover, snowfall and relatively high temperatures because of low elevation. Thick snow cover (probably seasonal) remains on the surfaces, which are generally not steep enough for the snow to slide down. Bryophytes and lichens comprise a substantial portion of the terrestrial biota."
