"","IFA","decade","group","dom_habitat","ecogroup"
"1","10019","200",2,3,"hab3_grp2"
"2","10038","198",3,3,"hab3_grp3"
"3","101","196",3,NA,"habNA_grp3"
"4","10127","200",2,3,"hab3_grp2"
"5","10127","198",3,3,"hab3_grp3"
"6","10128","200",2,NA,"habNA_grp2"
"7","102","198",2,NA,"habNA_grp2"
"8","102","197",2,NA,"habNA_grp2"
"9","1026","198",1,8,"hab8_grp1"
"10","1026","196",1,8,"hab8_grp1"
"11","1026","200",1,8,"hab8_grp1"
"12","1026","197",1,8,"hab8_grp1"
"13","10336","198",1,4,"hab4_grp1"
"14","10345","199",3,NA,"habNA_grp3"
"15","10345","200",3,NA,"habNA_grp3"
"16","10349","199",2,3,"hab3_grp2"
"17","10373","199",3,3,"hab3_grp3"
"18","10378","196",2,3,"hab3_grp2"
"19","10378","198",2,3,"hab3_grp2"
"20","10388","197",2,NA,"habNA_grp2"
"21","10388","198",3,NA,"habNA_grp3"
"22","10388","199",2,NA,"habNA_grp2"
"23","1040","200",1,NA,"habNA_grp1"
"24","10467","199",3,NA,"habNA_grp3"
"25","10500","199",3,NA,"habNA_grp3"
"26","10524","200",2,3,"hab3_grp2"
"27","106","196",1,8,"hab8_grp1"
"28","106","200",1,8,"hab8_grp1"
"29","106","198",1,8,"hab8_grp1"
"30","10611","199",3,NA,"habNA_grp3"
"31","10611","196",3,NA,"habNA_grp3"
"32","10696","199",2,3,"hab3_grp2"
"33","10764","196",2,NA,"habNA_grp2"
"34","10764","197",2,NA,"habNA_grp2"
"35","10764","198",3,NA,"habNA_grp3"
"36","10764","200",2,NA,"habNA_grp2"
"37","10865","200",1,3,"hab3_grp1"
"38","10902","196",3,NA,"habNA_grp3"
"39","10902","199",3,NA,"habNA_grp3"
"40","10938","198",3,3,"hab3_grp3"
"41","10938","196",3,3,"hab3_grp3"
"42","10948","198",2,3,"hab3_grp2"
"43","10948","196",2,3,"hab3_grp2"
"44","1097","198",1,8,"hab8_grp1"
"45","11102","201",3,3,"hab3_grp3"
"46","11102","197",3,3,"hab3_grp3"
"47","11102","198",3,3,"hab3_grp3"
"48","11102","196",3,3,"hab3_grp3"
"49","11111","196",3,3,"hab3_grp3"
"50","1124","197",1,8,"hab8_grp1"
"51","1131","200",1,8,"hab8_grp1"
"52","1131","198",1,8,"hab8_grp1"
"53","1131","197",1,8,"hab8_grp1"
"54","1167","200",1,8,"hab8_grp1"
"55","1167","198",1,8,"hab8_grp1"
"56","1178","197",1,8,"hab8_grp1"
"57","1206","200",1,1,"hab1_grp1"
"58","1213","200",1,1,"hab1_grp1"
"59","12171","198",1,7,"hab7_grp1"
"60","12171","200",1,7,"hab7_grp1"
"61","1224","198",1,8,"hab8_grp1"
"62","1228","198",1,NA,"habNA_grp1"
"63","1233","198",1,8,"hab8_grp1"
"64","1233","196",1,8,"hab8_grp1"
"65","1233","200",1,8,"hab8_grp1"
"66","1248","196",1,NA,"habNA_grp1"
"67","125","198",1,1,"hab1_grp1"
"68","126","200",1,4,"hab4_grp1"
"69","126","198",1,4,"hab4_grp1"
"70","1260","197",1,8,"hab8_grp1"
"71","12600","200",1,7,"hab7_grp1"
"72","12631","199",2,3,"hab3_grp2"
"73","12638","196",3,8,"hab8_grp3"
"74","12638","200",2,8,"hab8_grp2"
"75","12638","197",2,8,"hab8_grp2"
"76","12638","199",3,8,"hab8_grp3"
"77","13042","199",2,8,"hab8_grp2"
"78","13070","196",2,8,"hab8_grp2"
"79","13438","199",3,8,"hab8_grp3"
"80","13438","200",2,8,"hab8_grp2"
"81","13488","196",2,8,"hab8_grp2"
"82","13510","197",1,8,"hab8_grp1"
"83","13626","199",2,8,"hab8_grp2"
"84","1368","198",2,NA,"habNA_grp2"
"85","1370","198",3,3,"hab3_grp3"
"86","13793","199",1,8,"hab8_grp1"
"87","1388","199",1,1,"hab1_grp1"
"88","13929","197",1,3,"hab3_grp1"
"89","1399","199",1,1,"hab1_grp1"
"90","143","199",1,1,"hab1_grp1"
"91","144","199",1,1,"hab1_grp1"
"92","1444","196",2,NA,"habNA_grp2"
"93","14445","199",1,8,"hab8_grp1"
"94","14453","200",1,4,"hab4_grp1"
"95","1450","200",2,NA,"habNA_grp2"
"96","1452","196",3,NA,"habNA_grp3"
"97","1452","201",3,NA,"habNA_grp3"
"98","14626","199",3,3,"hab3_grp3"
"99","14629","199",2,NA,"habNA_grp2"
"100","14660","198",1,NA,"habNA_grp1"
"101","14713","200",1,4,"hab4_grp1"
"102","14722","197",1,8,"hab8_grp1"
"103","14725","198",1,7,"hab7_grp1"
"104","14725","199",1,7,"hab7_grp1"
"105","14725","197",1,7,"hab7_grp1"
"106","14733","198",1,NA,"habNA_grp1"
"107","14747","198",1,8,"hab8_grp1"
"108","14761","199",1,8,"hab8_grp1"
"109","14761","198",1,8,"hab8_grp1"
"110","14761","200",1,8,"hab8_grp1"
"111","148","199",1,1,"hab1_grp1"
"112","14866","200",1,4,"hab4_grp1"
"113","14947","198",1,NA,"habNA_grp1"
"114","14947","200",1,NA,"habNA_grp1"
"115","14960","199",1,8,"hab8_grp1"
"116","14960","197",1,8,"hab8_grp1"
"117","14960","198",1,8,"hab8_grp1"
"118","14960","200",1,8,"hab8_grp1"
"119","14990","200",1,4,"hab4_grp1"
"120","1501","198",3,3,"hab3_grp3"
"121","15011","197",1,NA,"habNA_grp1"
"122","15011","198",1,NA,"habNA_grp1"
"123","15019","200",1,NA,"habNA_grp1"
"124","15027","196",1,4,"hab4_grp1"
"125","15039","198",1,8,"hab8_grp1"
"126","15062","198",1,NA,"habNA_grp1"
"127","15062","200",1,NA,"habNA_grp1"
"128","15091","200",1,4,"hab4_grp1"
"129","151","200",1,1,"hab1_grp1"
"130","15101","197",1,NA,"habNA_grp1"
"131","1524","201",3,3,"hab3_grp3"
"132","1546","198",2,NA,"habNA_grp2"
"133","1547","200",1,8,"hab8_grp1"
"134","1547","196",1,8,"hab8_grp1"
"135","1548","198",2,3,"hab3_grp2"
"136","1553","198",2,3,"hab3_grp2"
"137","1553","200",2,3,"hab3_grp2"
"138","1556","198",2,3,"hab3_grp2"
"139","156","199",1,1,"hab1_grp1"
"140","1569","198",2,3,"hab3_grp2"
"141","1575","198",2,3,"hab3_grp2"
"142","1575","197",1,3,"hab3_grp1"
"143","1575","200",2,3,"hab3_grp2"
"144","1575","196",2,3,"hab3_grp2"
"145","1581","196",2,NA,"habNA_grp2"
"146","1581","198",2,NA,"habNA_grp2"
"147","1586","197",2,NA,"habNA_grp2"
"148","15968","199",1,8,"hab8_grp1"
"149","1603","200",1,8,"hab8_grp1"
"150","16031","196",1,8,"hab8_grp1"
"151","16035","198",1,8,"hab8_grp1"
"152","16036","196",1,NA,"habNA_grp1"
"153","16036","200",3,NA,"habNA_grp3"
"154","16036","199",3,NA,"habNA_grp3"
"155","16036","201",3,NA,"habNA_grp3"
"156","16058","198",1,3,"hab3_grp1"
"157","1607","196",2,3,"hab3_grp2"
"158","1607","198",2,3,"hab3_grp2"
"159","16111","198",1,8,"hab8_grp1"
"160","1613","198",2,3,"hab3_grp2"
"161","1613","196",2,3,"hab3_grp2"
"162","16142","200",1,3,"hab3_grp1"
"163","16152","198",1,8,"hab8_grp1"
"164","1629","197",2,3,"hab3_grp2"
"165","1629","200",3,3,"hab3_grp3"
"166","1629","199",3,3,"hab3_grp3"
"167","1629","198",2,3,"hab3_grp2"
"168","1629","201",3,3,"hab3_grp3"
