"","IFA","group","dom_habitat","ecogroup"
"1","1",2,NA,"habNA_grp2"
"2","100",2,NA,"habNA_grp2"
"3","10000",2,3,"hab3_grp2"
"4","10019",2,3,"hab3_grp2"
"5","10038",3,3,"hab3_grp3"
"6","1005",1,8,"hab8_grp1"
"7","10059",2,3,"hab3_grp2"
"8","10067",1,4,"hab4_grp1"
"9","10068",3,3,"hab3_grp3"
"10","101",3,NA,"habNA_grp3"
"11","1011",1,6,"hab6_grp1"
"12","1012",1,NA,"habNA_grp1"
"13","10127",2,3,"hab3_grp2"
"14","10128",2,NA,"habNA_grp2"
"15","10139",1,4,"hab4_grp1"
"16","1014",1,8,"hab8_grp1"
"17","10163",1,4,"hab4_grp1"
"18","10177",2,1,"hab1_grp2"
"19","102",2,NA,"habNA_grp2"
"20","1026",1,8,"hab8_grp1"
"21","10267",3,NA,"habNA_grp3"
"22","10281",1,1,"hab1_grp1"
"23","10300",1,6,"hab6_grp1"
"24","10303",1,4,"hab4_grp1"
"25","10336",1,4,"hab4_grp1"
"26","10345",3,NA,"habNA_grp3"
"27","10349",2,3,"hab3_grp2"
"28","10373",3,3,"hab3_grp3"
"29","10378",2,3,"hab3_grp2"
"30","10388",2,NA,"habNA_grp2"
"31","104",2,NA,"habNA_grp2"
"32","1040",1,NA,"habNA_grp1"
"33","10405",2,6,"hab6_grp2"
"34","10446",1,1,"hab1_grp1"
"35","10467",3,NA,"habNA_grp3"
"36","10500",3,NA,"habNA_grp3"
"37","10524",2,3,"hab3_grp2"
"38","10574",1,1,"hab1_grp1"
"39","10587",1,1,"hab1_grp1"
"40","106",1,8,"hab8_grp1"
"41","10611",3,NA,"habNA_grp3"
"42","1062",1,NA,"habNA_grp1"
"43","10635",1,4,"hab4_grp1"
"44","10655",1,1,"hab1_grp1"
"45","10696",2,3,"hab3_grp2"
"46","10764",2,NA,"habNA_grp2"
"47","1081",1,NA,"habNA_grp1"
"48","10816",2,3,"hab3_grp2"
"49","10833",2,3,"hab3_grp2"
"50","1085",1,NA,"habNA_grp1"
"51","10865",2,3,"hab3_grp2"
"52","10902",3,NA,"habNA_grp3"
"53","10938",3,3,"hab3_grp3"
"54","10948",2,3,"hab3_grp2"
"55","1097",1,8,"hab8_grp1"
"56","11",2,NA,"habNA_grp2"
"57","11018",1,1,"hab1_grp1"
"58","11095",2,1,"hab1_grp2"
"59","11102",3,3,"hab3_grp3"
"60","11111",3,3,"hab3_grp3"
"61","1113",1,8,"hab8_grp1"
"62","11148",1,1,"hab1_grp1"
"63","1115",1,NA,"habNA_grp1"
"64","1116",1,8,"hab8_grp1"
"65","1124",1,8,"hab8_grp1"
"66","1131",1,8,"hab8_grp1"
"67","1137",1,NA,"habNA_grp1"
"68","11372",1,5,"hab5_grp1"
"69","11660",3,NA,"habNA_grp3"
"70","1167",1,8,"hab8_grp1"
"71","11675",1,1,"hab1_grp1"
"72","1172",1,4,"hab4_grp1"
"73","1178",1,8,"hab8_grp1"
"74","1181",1,8,"hab8_grp1"
"75","11834",1,3,"hab3_grp1"
"76","11934",2,3,"hab3_grp2"
"77","1200",1,NA,"habNA_grp1"
"78","12016",2,3,"hab3_grp2"
"79","1204",1,NA,"habNA_grp1"
"80","1206",1,1,"hab1_grp1"
"81","12066",1,3,"hab3_grp1"
"82","12080",1,7,"hab7_grp1"
"83","12119",3,NA,"habNA_grp3"
"84","12127",1,1,"hab1_grp1"
"85","1213",1,1,"hab1_grp1"
"86","12134",3,7,"hab7_grp3"
"87","12171",1,7,"hab7_grp1"
"88","1219",1,8,"hab8_grp1"
"89","1222",1,8,"hab8_grp1"
"90","12237",1,8,"hab8_grp1"
"91","1224",1,8,"hab8_grp1"
"92","12248",1,7,"hab7_grp1"
"93","1228",1,NA,"habNA_grp1"
"94","123",3,1,"hab1_grp3"
"95","1232",1,NA,"habNA_grp1"
"96","12327",1,8,"hab8_grp1"
"97","1233",1,8,"hab8_grp1"
"98","1236",1,NA,"habNA_grp1"
"99","12441",1,8,"hab8_grp1"
"100","1248",1,NA,"habNA_grp1"
"101","12494",2,8,"hab8_grp2"
"102","125",1,1,"hab1_grp1"
"103","12517",1,8,"hab8_grp1"
"104","1253",1,8,"hab8_grp1"
"105","12544",1,8,"hab8_grp1"
"106","1259",3,NA,"habNA_grp3"
"107","126",1,4,"hab4_grp1"
"108","1260",1,8,"hab8_grp1"
"109","12600",1,7,"hab7_grp1"
"110","12615",1,7,"hab7_grp1"
"111","12631",2,3,"hab3_grp2"
"112","12638",2,8,"hab8_grp2"
"113","12644",1,3,"hab3_grp1"
"114","1266",1,NA,"habNA_grp1"
"115","12661",1,8,"hab8_grp1"
"116","1269",1,NA,"habNA_grp1"
"117","12712",1,3,"hab3_grp1"
"118","1274",1,NA,"habNA_grp1"
"119","1275",1,4,"hab4_grp1"
"120","12779",1,8,"hab8_grp1"
"121","128",3,4,"hab4_grp3"
"122","12809",2,8,"hab8_grp2"
"123","1286",1,NA,"habNA_grp1"
"124","12869",2,8,"hab8_grp2"
"125","1291",1,NA,"habNA_grp1"
"126","1293",1,NA,"habNA_grp1"
"127","12952",2,3,"hab3_grp2"
"128","1299",1,8,"hab8_grp1"
"129","13",2,NA,"habNA_grp2"
"130","13042",2,8,"hab8_grp2"
"131","1305",1,NA,"habNA_grp1"
"132","1307",3,NA,"habNA_grp3"
"133","13070",2,8,"hab8_grp2"
"134","1313",3,NA,"habNA_grp3"
"135","13198",2,8,"hab8_grp2"
"136","13210",1,3,"hab3_grp1"
"137","1327",3,NA,"habNA_grp3"
"138","13307",2,8,"hab8_grp2"
"139","1334",3,1,"hab1_grp3"
"140","13359",1,8,"hab8_grp1"
"141","13372",2,8,"hab8_grp2"
"142","1341",1,NA,"habNA_grp1"
"143","13438",3,8,"hab8_grp3"
"144","1346",3,3,"hab3_grp3"
"145","13485",2,8,"hab8_grp2"
"146","13488",2,8,"hab8_grp2"
"147","13503",1,8,"hab8_grp1"
"148","13510",1,8,"hab8_grp1"
"149","1354",2,NA,"habNA_grp2"
"150","13549",1,8,"hab8_grp1"
"151","13554",2,8,"hab8_grp2"
"152","1359",2,NA,"habNA_grp2"
"153","13626",2,8,"hab8_grp2"
"154","1367",2,NA,"habNA_grp2"
"155","13672",1,8,"hab8_grp1"
"156","1368",2,NA,"habNA_grp2"
"157","1370",3,3,"hab3_grp3"
"158","1371",2,NA,"habNA_grp2"
"159","1373",2,NA,"habNA_grp2"
"160","13747",1,3,"hab3_grp1"
"161","13773",1,3,"hab3_grp1"
"162","1379",1,3,"hab3_grp1"
"163","13793",1,8,"hab8_grp1"
"164","1380",2,NA,"habNA_grp2"
"165","1386",1,3,"hab3_grp1"
"166","1388",1,1,"hab1_grp1"
"167","13897",1,3,"hab3_grp1"
"168","13912",1,5,"hab5_grp1"
"169","13929",1,3,"hab3_grp1"
"170","13939",1,3,"hab3_grp1"
"171","1394",1,NA,"habNA_grp1"
"172","1399",1,1,"hab1_grp1"
"173","1401",1,NA,"habNA_grp1"
"174","14032",3,3,"hab3_grp3"
"175","14047",2,3,"hab3_grp2"
"176","1406",1,1,"hab1_grp1"
"177","14091",2,8,"hab8_grp2"
"178","141",1,1,"hab1_grp1"
"179","1410",2,NA,"habNA_grp2"
"180","14117",2,8,"hab8_grp2"
"181","14145",1,7,"hab7_grp1"
"182","14169",2,8,"hab8_grp2"
"183","1419",2,NA,"habNA_grp2"
"184","1422",3,NA,"habNA_grp3"
"185","14238",2,8,"hab8_grp2"
"186","1425",3,NA,"habNA_grp3"
"187","1426",2,NA,"habNA_grp2"
"188","14278",1,3,"hab3_grp1"
"189","143",1,1,"hab1_grp1"
"190","1434",2,NA,"habNA_grp2"
"191","144",1,1,"hab1_grp1"
"192","1444",2,NA,"habNA_grp2"
"193","14445",1,8,"hab8_grp1"
"194","14453",1,4,"hab4_grp1"
"195","1450",2,NA,"habNA_grp2"
"196","14503",1,NA,"habNA_grp1"
"197","14507",1,4,"hab4_grp1"
"198","1452",3,NA,"habNA_grp3"
"199","14520",1,7,"hab7_grp1"
"200","14525",1,NA,"habNA_grp1"
"201","14539",1,1,"hab1_grp1"
"202","14551",1,1,"hab1_grp1"
"203","14593",1,1,"hab1_grp1"
"204","1460",1,NA,"habNA_grp1"
"205","14613",1,8,"hab8_grp1"
"206","14623",1,4,"hab4_grp1"
"207","14626",3,3,"hab3_grp3"
"208","14629",2,NA,"habNA_grp2"
"209","14632",1,4,"hab4_grp1"
"210","14637",1,1,"hab1_grp1"
"211","14651",1,3,"hab3_grp1"
"212","14660",1,NA,"habNA_grp1"
"213","14688",1,NA,"habNA_grp1"
"214","14700",2,8,"hab8_grp2"
"215","14713",1,4,"hab4_grp1"
"216","14719",1,NA,"habNA_grp1"
"217","14720",3,1,"hab1_grp3"
"218","14722",1,8,"hab8_grp1"
"219","14725",1,7,"hab7_grp1"
"220","14728",1,1,"hab1_grp1"
"221","14730",3,1,"hab1_grp3"
"222","14733",1,NA,"habNA_grp1"
"223","1474",2,3,"hab3_grp2"
"224","14747",1,8,"hab8_grp1"
"225","14749",1,4,"hab4_grp1"
"226","14754",1,NA,"habNA_grp1"
"227","14755",1,NA,"habNA_grp1"
"228","14761",1,8,"hab8_grp1"
"229","14767",1,4,"hab4_grp1"
"230","14770",1,4,"hab4_grp1"
"231","14792",1,4,"hab4_grp1"
"232","14795",1,8,"hab8_grp1"
"233","14797",1,4,"hab4_grp1"
"234","148",1,1,"hab1_grp1"
"235","1480",1,8,"hab8_grp1"
"236","14800",1,1,"hab1_grp1"
"237","14805",1,1,"hab1_grp1"
"238","14807",1,NA,"habNA_grp1"
"239","14809",1,NA,"habNA_grp1"
"240","14829",1,1,"hab1_grp1"
"241","14832",3,NA,"habNA_grp3"
"242","14833",1,NA,"habNA_grp1"
"243","14836",1,1,"hab1_grp1"
"244","14837",1,1,"hab1_grp1"
"245","14855",1,NA,"habNA_grp1"
"246","14856",1,NA,"habNA_grp1"
"247","14866",1,4,"hab4_grp1"
"248","14885",1,1,"hab1_grp1"
"249","14890",1,1,"hab1_grp1"
"250","14892",1,NA,"habNA_grp1"
"251","14904",1,1,"hab1_grp1"
"252","14922",1,4,"hab4_grp1"
"253","14926",1,NA,"habNA_grp1"
"254","14930",1,NA,"habNA_grp1"
"255","14931",1,NA,"habNA_grp1"
"256","14933",1,NA,"habNA_grp1"
"257","14934",3,NA,"habNA_grp3"
"258","14939",1,NA,"habNA_grp1"
"259","14946",1,NA,"habNA_grp1"
"260","14947",1,NA,"habNA_grp1"
