,IFA,dom_habitat,decade,X1,X2,count,percent,grp_count,grp_percent,ACBR_Name,ecogroup
1,10019,3,200,0.364678077,-0.141207792,1,1,5,5,North-west Antarctic Peninsula,hab3_asm5
2,10038,3,198,-0.515292131,0.345482928,2,14,4,1,North-west Antarctic Peninsula,hab3_asm4
3,10127,3,200,0.326033983,-0.019207025,1,1,5,5,North-west Antarctic Peninsula,hab3_asm5
4,10127,3,198,-0.522471063,0.366008741,2,2,4,4,North-west Antarctic Peninsula,hab3_asm4
5,1026,8,198,-0.074694573,-0.412793559,3,3,7,7,Enderby Land,hab8_asm7
6,1026,8,200,-0.34047243,-0.016148849,3,4,3,,Enderby Land,hab8_asm3
7,1026,8,197,0.338056898,-0.402616111,3,17,7,5,Enderby Land,hab8_asm7
8,1026,8,196,-0.025043956,-0.126628468,7,7;20,NA,,Enderby Land,hab8_asmNA
9,10303,4,198,0.23978075,0.207998798,3,3,7,7,Central south Antarctic Peninsula,hab4_asm7
10,10336,4,198,0.249902428,0.253168933,3,15,7,6,Central south Antarctic Peninsula,hab4_asm7
11,10349,3,199,-0.35560096,0.179033633,1,1,5,5,North-west Antarctic Peninsula,hab3_asm5
12,10373,3,199,-0.455123348,0.327942069,5,5,4,4,North-west Antarctic Peninsula,hab3_asm4
13,10378,3,198,0.111347323,-0.10595766,2,2,4,4,North-west Antarctic Peninsula,hab3_asm4
14,10378,3,196,0.148882491,-0.120489528,1;13,13,5,5,North-west Antarctic Peninsula,hab3_asm5
15,10524,3,200,0.232634407,-0.279609368,1,1,5,5,North-west Antarctic Peninsula,hab3_asm5
16,106,8,198,-0.06591957,-0.042139683,11,11,3,3,Dronning Maud Land,hab8_asm3
17,106,8,196,-0.124807716,-0.151732381,2,2,3,3,Dronning Maud Land,hab8_asm3
18,106,8,199,-0.273075812,-0.09819762,5,13,4,7,Dronning Maud Land,hab8_asm4
19,106,8,200,-0.319912488,0.361975919,3,5,3,,Dronning Maud Land,hab8_asm3
20,10635,4,198,0.26490724,0.263602875,3,3,7,7,Central south Antarctic Peninsula,hab4_asm7
21,10696,3,199,-0.081945793,0.4967626,5,7;9,4,5,North-west Antarctic Peninsula,hab3_asm4
22,10865,3,196,0.092797115,-0.048015556,1,1,5,5,North-west Antarctic Peninsula,hab3_asm5
23,10865,3,200,0.318007353,0.002816674,1,24,5,6,North-west Antarctic Peninsula,hab3_asm5
24,10938,3,198,-0.460704968,0.217785709,2,14,4,1,North-west Antarctic Peninsula,hab3_asm4
25,10938,3,196,-0.080308754,0.199911548,9,14,3,1,North-west Antarctic Peninsula,hab3_asm3
26,10948,3,198,0.046129213,-0.242908459,2,9,4,,North-west Antarctic Peninsula,hab3_asm4
27,10948,3,196,0.292068414,-0.160412174,1,27,5,,North-west Antarctic Peninsula,hab3_asm5
28,1097,8,198,-0.081380509,-0.465583079,3,3,7,7,Enderby Land,hab8_asm7
29,11102,3,196,-0.203570468,0.568095061,9,14,3,1,North-west Antarctic Peninsula,hab3_asm3
30,11102,3,197,0.028008209,-0.073790246,9,9,1,1,North-west Antarctic Peninsula,hab3_asm1
31,11102,3,201,0.387458444,-0.051346463,NA,NA,NA,,North-west Antarctic Peninsula,hab3_asmNA
32,11102,3,198,-0.507124441,0.144348274,2,7,4,1,North-west Antarctic Peninsula,hab3_asm4
33,11111,3,196,-0.065733752,0.334204705,9,9,3,3,North-west Antarctic Peninsula,hab3_asm3
34,1124,8,197,0.391449554,-0.388887547,2,2,7,7,Enderby Land,hab8_asm7
35,1131,8,200,-0.324027642,-0.043897316,3,4,3,,Enderby Land,hab8_asm3
36,1131,8,198,-0.060177334,-0.375457358,3,3,7,7,Enderby Land,hab8_asm7
37,1131,8,197,0.336013915,-0.397093347,3,17,7,5,Enderby Land,hab8_asm7
38,1167,8,200,-0.070573748,-0.077187375,2,2,7,7,Enderby Land,hab8_asm7
39,1167,8,198,0.279083468,-0.02337059,3,10,7,2,Enderby Land,hab8_asm7
40,1178,8,197,0.36096306,-0.380023267,3,3,7,7,Enderby Land,hab8_asm7
41,1206,1,200,0.202275211,0.472236227,2,2,7,7,Dronning Maud Land,hab1_asm7
42,1213,1,200,0.224220198,0.520814907,2,2,7,7,Dronning Maud Land,hab1_asm7
43,12171,7,200,-0.023100164,-0.079382116,16,16;19,NA,,Prince Charles Mountains,hab7_asmNA
44,12171,7,198,0.348134092,0.010547483,3,3,7,7,Prince Charles Mountains,hab7_asm7
45,1224,8,198,-0.05444997,-0.313453149,3,3,7,7,Enderby Land,hab8_asm7
46,1233,8,198,-0.067271349,-0.079328503,3,3,7,7,Enderby Land,hab8_asm7
47,1233,8,200,-0.315527409,-0.027358219,3,17;20,3,9,Enderby Land,hab8_asm3
