"","Row.names","dom_habitat","decade","X1","X2","count","percent","grp.count","grp.percent","ACBR_Name","ecogroup"
"1","10019",3,"200",-0.324710998302925,-0.110579725559944,"2","2","2","2","North-west Antarctic Peninsula","hab3_grp2"
"2","10038",3,"198",-0.518195852478556,-0.322871195024321,"3","3","3","3","North-west Antarctic Peninsula","hab3_grp3"
"3","10127",3,"198",-0.552436026465042,-0.326068786636224,"3","3","3","3","North-west Antarctic Peninsula","hab3_grp3"
"4","10127",3,"200",-0.262170113081436,0.0100567672810925,"2","2","2","2","North-west Antarctic Peninsula","hab3_grp2"
"5","1026",8,"200",0.444721021103325,-0.0948749001157461,"5","5","1","1","Enderby Land","hab8_grp1"
"6","1026",8,"197",0.485411251418153,-0.25533160080385,"2","2","1","1","Enderby Land","hab8_grp1"
"7","1026",8,"198",0.0194168362868242,0.317264401602592,"2","2","1","1","Enderby Land","hab8_grp1"
"8","10336",4,"198",0.259335805219169,-0.237924312864414,"2","2","1","1","Central south Antarctic Peninsula","hab4_grp1"
"9","10349",3,"199",-0.420697978879498,-0.0350004232840785,"3;4","3","2;3","2","North-west Antarctic Peninsula","hab3_grp2;3"
"10","10373",3,"199",-0.613584570588431,-0.140204430935324,"4","4","3","3","North-west Antarctic Peninsula","hab3_grp3"
"11","10378",3,"198",0.0991656308616896,0.211810200654953,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"12","106",8,"200",0.433411983043758,0.328795592621063,"5","5","1","1","Dronning Maud Land","hab8_grp1"
"13","10696",3,"199",-0.268935315267106,-0.313305665823496,"4","4","3","3","North-west Antarctic Peninsula","hab3_grp3"
"14","10865",3,"200",-0.284869614973909,0.0350510663661384,"2","3","2","1","North-west Antarctic Peninsula","hab3_grp2"
"15","10938",3,"198",-0.44822327695319,-0.208118269325374,"3","3","3","3","North-west Antarctic Peninsula","hab3_grp3"
"16","10938",3,"196",0.127570703288332,0.017857969347623,"5","5","3","3","North-west Antarctic Peninsula","hab3_grp3"
"17","10948",3,"198",0.0418509308170864,0.323939432882293,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"18","10948",3,"196",-0.29044967460379,-0.125385364752569,"1","3","2","1","North-west Antarctic Peninsula","hab3_grp2"
"19","1097",8,"198",0.013495037822619,0.361186405469415,"2","2","1","1","Enderby Land","hab8_grp1"
"20","11102",3,"196",0.334990851094453,0.488426482360842,"6","6","3","3","North-west Antarctic Peninsula","hab3_grp3"
"21","11102",3,"198",-0.493760097366455,-0.159963793105765,"3","3","3","3","North-west Antarctic Peninsula","hab3_grp3"
"22","1131",8,"200",0.437492218717467,-0.137969099878426,"5","5","1","1","Enderby Land","hab8_grp1"
"23","1131",8,"197",0.485411251418153,-0.25533160080385,"2","2","1","1","Enderby Land","hab8_grp1"
"24","1167",8,"198",0.354734379431229,-0.0919076247011146,"2","2","1","1","Enderby Land","hab8_grp1"
